t,psi
10740.0,0.018991031715936336
10752.0,0.018612926265167133
10764.0,0.018242473692167548
10776.0,0.017879586255891665
10788.0,0.01752417700890961
10800.0,0.017176159816252628
10812.0,0.016835449373701364
10824.0,0.016501961225522145
10836.0,0.016175611781655094
10848.0,0.015856318334359094
10860.0,0.015543999074318145
10872.0,0.015238573106213845
10884.0,0.014939960463769051
10896.0,0.014648082124267525
10908.0,0.014362860022554736
10920.0,0.014084217064524942
10932.0,0.013812077140099825
10944.0,0.01354636513570384
10956.0,0.013287006946241792
10968.0,0.01303392948658391
10980.0,0.01278706070256391
10992.0,0.012546329581495558
11004.0,0.012311666162213197
11016.0,0.01208300154464188
11028.0,0.011860267898902608
11040.0,0.01164339847395821
11052.0,0.011432327605805698
11064.0,0.011226990725220373
11076.0,0.011027324365057564
11088.0,0.010833266167117534
11100.0,0.010644754888579005
11112.0,0.010461730408007103
11124.0,0.010284133730941114
11136.0,0.010111906995067674
11148.0,0.009944993474984861
11160.0,0.009783337586562666
11172.0,0.009626884890905357
11184.0,0.009475582097920949
11196.0,0.009329377069503332
11208.0,0.009188218822332313
11220.0,0.009052057530296575
11232.0,0.008920844526545242
11244.0,0.008794532305172586
11256.0,0.008673074522541468
11268.0,0.008556425998250218
11280.0,0.008444542715747844
11292.0,0.008337381822602786
11304.0,0.008234901630429468
11316.0,0.008137061614477898
11328.0,0.00804382241289055
11340.0,0.007955145825631225
11352.0,0.007870994813090445
11364.0,0.007791333494371488
11376.0,0.007716127145261701
11388.0,0.007645342195893004
11400.0,0.007578946228095797
11412.0,0.007516907972450415
11424.0,0.007459197305039734
11436.0,0.007405785243907203
11448.0,0.007356643945223566
11460.0,0.007311746699166297
11472.0,0.00727106792551513
11484.0,0.007234583168967008
11496.0,0.007202269094174138
11508.0,0.007174103480508004
11520.0,0.007150065216552853
11532.0,0.007130134294331474
11544.0,0.00711429180326629
11556.0,0.0071025199238787685
11568.0,0.007094801921229658
11580.0,0.0070911221381029805
11592.0,0.0070914659879362536
11604.0,0.007095819947499363
11616.0,0.0071041715493246485
11628.0,0.00711650937389032
11640.0,0.007132823041559599
11652.0,0.007153103204277593
11664.0,0.007177341537027931
11676.0,0.007205530729051283
11688.0,0.007237664474827368
11700.0,0.0072737374648225335
