t,psi_truth,psi_recovered
5880.0,0.2885311748045959,0.4023483834797115
5892.0,0.29086150193100263,0.40489645001604535
5904.0,0.293189110967771,0.4074387887369601
5916.0,0.2955136368266249,0.4099751264593677
5928.0,0.2978347121934146,0.4125051874447893
5940.0,0.300151967618825,0.4150286924140189
5952.0,0.30246503161058724,0.4175453576239384
5964.0,0.3047735307271645,0.4200548940602154
5976.0,0.3070770896728819,0.42255700679146097
5988.0,0.309375331394469,0.4250513945208144
6000.0,0.31166787717898453,0.4275377493608276
6012.0,0.3139543467530886,0.43001575684713883
6024.0,0.31623435838363,0.43248509619583303
6036.0,0.31850752897951307,0.4349454407978607
6048.0,0.3207734741948082,0.43739645893127926
6060.0,0.32303180853307095,0.43983781465798927
6072.0,0.32528214545283013,0.4422691688569232
6084.0,0.3275240974742084,0.44469018033140556
6096.0,0.3297572762866346,0.44710050691672654
6108.0,0.3319812928576095,0.44949980650712434
6120.0,0.33419575754248254,0.4518877379214546
6132.0,0.3364002801951991,0.45426396153525056
6144.0,0.3385944702799746,0.45662813962389953
6156.0,0.34077793698385384,0.4589799363859729
6168.0,0.34295028933011024,0.46131901764491207
6180.0,0.34511113629244106,0.46364505025742236
6192.0,0.34726008690991295,0.46595770128420505
6204.0,0.34939675040261203,0.4682566369990018
6216.0,0.35152073628795155,0.4705415218228389
6228.0,0.3536316544975898,0.4728120172704896
6240.0,0.3557291154949111,0.4750677809863778
6252.0,0.35781273039301953,0.47730846592964477
6264.0,0.35988211107319845,0.47953371974675374
6276.0,0.3619368703037853,0.4817431843487972
6288.0,0.3639766218594107,0.4839364956933942
6300.0,0.36600098064055325,0.48611328376032226
6312.0,0.3680095627933563,0.48827317270674664
6324.0,0.3700019858296583,0.49041578119100765
6336.0,0.3719778687471826,0.4925407228612276
6348.0,0.3739368321498343,0.4946476070125208
6360.0,0.37587849836805454,0.4967360394213261
6372.0,0.37780249157917484,0.49880562336391454
6384.0,0.3797084379277224,0.500855960817526
6396.0,0.38159596564562076,0.5028866538270998
6408.0,0.383464705172232,0.5048973060005669
6420.0,0.3853142892741885,0.5068875240749096
6432.0,0.387144353164958,0.5088569194778999
6444.0,0.3889545346240894,0.510805109800702
6456.0,0.3907444741160847,0.512731720097018
6468.0,0.39251381490884235,0.514636383936219
6480.0,0.3942622031916179,0.5165187441596683
6492.0,0.3959892881924482,0.5183784533181964
6504.0,0.39769472229498376,0.5202151737998472
6516.0,0.39937816115467645,0.5220285776857776
6528.0,0.4010392638142665,0.5238183463941374
6540.0,0.4026776928185169,0.5255841701837508
6552.0,0.4042931143281395,0.5273257475903389
6564.0,0.4058851982328603,0.5290427848588163
6576.0,0.40745361826357024,0.5307349954185065
6588.0,0.4089980521035077,0.5324020994278712
6600.0,0.41051818149842084,0.5340438233956216
6612.0,0.41201369236565594,0.5356598998697383
6624.0,0.4134842749021207,0.5372500671769929
6636.0,0.41492962369106995,0.5388140691939787
6648.0,0.4163494378076622,0.540351655135427
6660.0,0.41774342092323735,0.5418625793540475
